target_id	length	eff_length	est_counts	tpm
ENST00000400451.6|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319648.2|ZNF74-005|ZNF74|3159|protein_coding|	3159	3061.63	0	0
ENST00000611540.4|ENSG00000185252.17|OTTHUMG00000150687.4|-|ZNF74-202|ZNF74|3714|protein_coding|	3714	3616.63	1.94594	81.0584
ENST00000403682.7|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319645.2|ZNF74-002|ZNF74|2789|protein_coding|	2789	2691.63	2.24261	125.519
ENST00000357502.5|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319622.3|ZNF74-001|ZNF74|2788|protein_coding|	2788	2690.63	0	0
ENST00000493734.5|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319646.2|ZNF74-003|ZNF74|3758|retained_intron|	3758	3660.63	19012.9	782463
ENST00000420626.1|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319650.3|ZNF74-007|ZNF74|591|protein_coding|	591	493.633	0	0
ENST00000437275.5|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319647.2|ZNF74-004|ZNF74|3744|nonsense_mediated_decay|	3744	3646.63	624.623	25804.6
ENST00000405993.2|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000322214.2|ZNF74-008|ZNF74|1839|protein_coding|	1839	1741.63	0	0
ENST00000356671.6|ENSG00000185252.17|OTTHUMG00000150687.4|-|ZNF74-201|ZNF74|2416|protein_coding|	2416	2318.63	0	0
ENST00000476678.1|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319649.1|ZNF74-006|ZNF74|3879|retained_intron|	3879	3781.63	207.305	8258.53
ENST00000526893.5|ENSG00000254709.7|OTTHUMG00000165670.2|OTTHUMT00000385699.1|IGLL5-002|IGLL5|1050|protein_coding|	1050	952.633	362.327	57299.1
ENST00000532223.2|ENSG00000254709.7|OTTHUMG00000165670.2|OTTHUMT00000385698.2|IGLL5-001|IGLL5|1335|protein_coding|	1335	1237.63	34.4188	4189.64
ENST00000531372.1|ENSG00000254709.7|OTTHUMG00000165670.2|OTTHUMT00000385700.1|IGLL5-003|IGLL5|882|protein_coding|	882	784.633	634.254	121778
