target_id	length	eff_length	est_counts	tpm
ENST00000400451.6|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319648.2|ZNF74-005|ZNF74|3159|protein_coding|	3159	3046.84	0	0
ENST00000611540.4|ENSG00000185252.17|OTTHUMG00000150687.4|-|ZNF74-202|ZNF74|3714|protein_coding|	3714	3601.84	2.20022	126.964
ENST00000403682.7|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319645.2|ZNF74-002|ZNF74|2789|protein_coding|	2789	2676.84	1.02152	79.3169
ENST00000357502.5|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319622.3|ZNF74-001|ZNF74|2788|protein_coding|	2788	2675.84	1.09964	85.4145
ENST00000493734.5|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319646.2|ZNF74-003|ZNF74|3758|retained_intron|	3758	3645.84	14218.2	810564
ENST00000420626.1|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319650.3|ZNF74-007|ZNF74|591|protein_coding|	591	478.838	0	0
ENST00000437275.5|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319647.2|ZNF74-004|ZNF74|3744|nonsense_mediated_decay|	3744	3631.84	551.456	31559.1
ENST00000405993.2|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000322214.2|ZNF74-008|ZNF74|1839|protein_coding|	1839	1726.84	0	0
ENST00000356671.6|ENSG00000185252.17|OTTHUMG00000150687.4|-|ZNF74-201|ZNF74|2416|protein_coding|	2416	2303.84	0	0
ENST00000476678.1|ENSG00000185252.17|OTTHUMG00000150687.4|OTTHUMT00000319649.1|ZNF74-006|ZNF74|3879|retained_intron|	3879	3766.84	111.011	6125.3
ENST00000526893.5|ENSG00000254709.7|OTTHUMG00000165670.2|OTTHUMT00000385699.1|IGLL5-002|IGLL5|1050|protein_coding|	1050	937.838	180.971	40107
ENST00000532223.2|ENSG00000254709.7|OTTHUMG00000165670.2|OTTHUMT00000385698.2|IGLL5-001|IGLL5|1335|protein_coding|	1335	1222.84	4.28984	729.142
ENST00000531372.1|ENSG00000254709.7|OTTHUMG00000165670.2|OTTHUMT00000385700.1|IGLL5-003|IGLL5|882|protein_coding|	882	769.838	409.739	110624
